SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Jun 01 00:00:0 VET 2014
User: Dark
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: HR4C5177
Integration Time (usec): 25000 (HR4C5177)
Spectra Averaged: 1 (HR4C5177)
Boxcar Smoothing: 0 (HR4C5177)
Correct for Electrical Dark: No (HR4C5177)
Strobe/Lamp Enabled: No (HR4C5177)
Correct for Detector Non-linearity: No (HR4C5177)
Correct for Stray Light: No (HR4C5177)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
349.50	660.00
349.54	660.00
349.58	701.00
349.62	744.00
349.66	724.00
349.70	723.00
349.75	733.00
349.79	734.00
349.83	734.00
349.87	736.00
349.91	725.00
349.95	725.00
349.99	729.00
350.03	726.00
350.08	730.00
350.12	732.00
350.16	734.00
350.20	730.00
350.24	744.00
350.28	731.00
350.32	738.00
350.36	733.00
350.40	735.00
350.45	736.00
350.49	735.00
350.53	733.00
350.57	740.00
350.61	742.00
350.65	740.00
350.69	741.00
350.73	732.00
350.77	723.00
350.82	735.00
350.86	727.00
350.90	737.00
350.94	735.00
350.98	733.00
351.02	742.00
351.06	746.00
351.10	738.00
351.15	721.00
351.19	729.00
351.23	745.00
351.27	740.00
351.31	730.00
351.35	732.00
351.39	716.00
351.43	735.00
351.47	742.00
351.52	749.00
351.56	735.00
351.60	742.00
351.64	744.00
351.68	735.00
351.72	739.00
351.76	725.00
351.80	729.00
351.84	749.00
351.88	736.00
351.93	738.00
351.97	744.00
352.01	721.00
352.05	728.00
352.09	726.00
352.13	728.00
352.17	735.00
352.21	732.00
352.25	753.00
352.30	738.00
352.34	724.00
352.38	737.00
352.42	736.00
352.46	742.00
352.50	746.00
352.54	744.00
352.58	735.00
352.62	744.00
352.67	736.00
352.71	733.00
352.75	752.00
352.79	739.00
352.83	728.00
352.87	742.00
352.91	732.00
352.95	731.00
352.99	733.00
353.03	738.00
353.08	745.00
353.12	738.00
353.16	726.00
353.20	747.00
353.24	744.00
353.28	738.00
353.32	734.00
353.36	726.00
353.40	730.00
353.44	721.00
353.49	730.00
353.53	733.00
353.57	748.00
353.61	745.00
353.65	737.00
353.69	731.00
353.73	723.00
353.77	732.00
353.81	739.00
353.85	738.00
353.90	719.00
353.94	733.00
353.98	743.00
354.02	743.00
354.06	738.00
354.10	737.00
354.14	740.00
354.18	739.00
354.22	735.00
354.26	736.00
354.31	729.00
354.35	744.00
